PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee2.ltlf,0.095,0.004,0.029,0.128
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee3.ltlf,0.096,0.005,0.048,0.149
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee4.ltlf,0.104,0.013,0.128,0.245
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee5.ltlf,0.119,0.027,0.25,0.396
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee6.ltlf,0.137,0.039,0.543,0.719
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee7.ltlf,0.15,0.117,1.108,1.375
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee8.ltlf,0.134,0.322,2.728,3.184
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee9.ltlf,0.134,0.98,8.021,9.135
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee10.ltlf,0.147,2.475,11.847,14.469
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee11.ltlf,0.132,6.729,27.466,34.327
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee12.ltlf,0.132,20.761,125.054,145.947
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee13.ltlf,0.133,82.673,212.921,295.727
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee14.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee15.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee16.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee2.ltlf,0.151,0.082,0.033,0.266
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee3.ltlf,0.102,2.654,0.058,2.814
